name,fat,prot,carb,cal,cost
овсянка,6.2,12.3,61.8,352,0
рис,1,6.5,79,350,0
индейка,7,19,0,140,0
кукуруза,1.3,3,20.5,112,0
булочка,2.8,8.7,51.4,265,0
булочка_боско,1,9,52,253,0
творог_вкуснотеево,0.5,18,3.3,89.7,0
творог_дмитровский,1.8,18,3.3,101,30
творог_ростаргоэкспорт,1.8,18,3.3,101,0
молоко_15,1.5,3,4.7,44,6.2
огурцы_короткоплодные_дикси,0.1,0.8,3,15,0
томаты_дикси,0.2,0.6,4.2,19,0
болгарский_перец_красный,0.1,1.3,4.9,26,0
яйца,11.5,12.7,0.7,157,0
кефир_1,1,3,4,156,0
тунец,0.4,20.2,0,88.2,51.3
хлеб,6.8,9.8,44.3,281,0
курага,0.3,5.2,51,232,0
чернослив,0.4,2,64,240,0
горох,0.7,5.5,7.4,73,0
сыр_российский,27,22.5,0,333,0
миндаль,56,22,12,640,0
кешью,55.3,26,13,650.7,0
